DERBY, ENGLAND:52.91652:W1.47241:64
PRESTON, ENGLAND:53.76409:W2.70456
GOROKA, PAPUA NEW GUINEA:-6.08167:145.392
MADANG, PAPUA NEW GUINEA:-5.20694:145.789
MOUNT HAGEN, PAPUA NEW GUINEA:-5.82611:144.296
NADZAB, PAPUA NEW GUINEA:-6.56972:146.726
PORT MORESBY, PAPUA NEW GUINEA:-9.44333:147.22
WEWAK, PAPUA NEW GUINEA:-3.58361:143.669
NARSSARSSUAQ, GREENLAND:61.1611:W45.4275
NERLERIT INAAT, GREENLAND:70.7394:W22.6458
GODTHAAB, GREENLAND:64.1908:W51.6781
JAKOBSHAVN, GREENLAND:69.2333:W51.0667
KULUSUK, GREENLAND:65.5833:W37.15
SONDRESTROM, GREENLAND:67.0169:W50.6892
THULE, GREENLAND:76.5311:W68.7031
AKUREYRI, ICELAND:65.6597:W18.0725
EGILSSTADIR, ICELAND:65.2833:W14.4014
HOFN, ICELAND:64.2956:W15.2272
HUSAVIK, ICELAND:65.9522:W17.4258
ISAFJORDUR, ICELAND:66.0581:W23.1353
KEFLAVIK, ICELAND:63.985:W22.6056
KOPASKER, ICELAND:66.3136:W16.4611
PATREKSFJORDUR, ICELAND:65.5558:W23.965
REYKJAVIK, ICELAND:64.13:W21.9406
SIGLUFJORDUR, ICELAND:66.1333:W18.9167
VESTMANNAEYJAR, ICELAND:63.4242:W20.2786
SAULT SAINTE MARIE, CANADA:46.485:W84.5094
WINNIPEG, CANADA:50.0564:W97.0325
HALIFAX, CANADA:44.6397:W63.4994
ST. ANTHONY, CANADA:51.3917:W56.0844
TOFINO, CANADA:49.0822:W125.772
PELLY BAY, CANADA:68.5344:W89.8081
BAIE COMEAU, CANADA:49.1322:W68.2072
BAGOTVILLE, CANADA:48.3306:W70.9964
BAKER LAKE, CANADA:64.2989:W96.0778
CAMPBELL RIVER, CANADA:49.9508:W125.271
BRANDON, CANADA:49.91:W99.9519
CAMBRIDGE BAY, CANADA:69.1081:W105.138
NANAIMO, CANADA:49.0522:W123.87
CASTLEGAR, CANADA:49.2964:W117.632
CHATHAM, CANADA:47.0078:W65.4492
CHARLO, CANADA:47.9906:W66.3314
COPPERMINE, CANADA:67.8167:W115.144
CORONATION, CANADA:52.075:W111.445
CHILLIWACK, CANADA:49.1528:W121.939
CLYDE RIVER, CANADA:70.4861:W68.5167
CORAL HARBOUR, CANADA:50.3319:W115.874
DAWSON, CANADA:64.0431:W139.128
BURWASH, CANADA:61.3711:W139.041
PRINCETON, CANADA:49.4675:W120.512
DEER LAKE, CANADA:49.2108:W57.3914
DEASE LAKE, CANADA:58.4222:W130.032
DAUPHIN, CANADA:51.1008:W100.052
DAWSON CREEK, CANADA:55.7417:W120.182
EDMONTON, CANADA:53.6667:W113.467
EDMONTON, CANADA:53.3097:W113.58
ESKIMO POINT, CANADA:61.0942:W94.0708
ESTEVAN, CANADA:49.2103:W102.966
EDSON, CANADA:53.5789:W116.465
EUREKA, CANADA:79.9947:W85.8133
INUVIK, CANADA:68.3042:W133.483
IQALUIT, CANADA:63.7564:W68.5558
FREDERICTON, CANADA:45.8694:W66.5317
FORESTVILLE, CANADA:48.7461:W69.0972
